# Best fit model.
# chi^2=2.710200e+01.
# z_eff=0.470567.
# Parameters:   8.8106e-01   8.0168e-01   4.0120e-01   1.9265e-01   2.5189e+00   9.7549e-01
#         ell        C_l_a        C_l_x
   2.4900e+02   1.1075e-05   1.2841e-07
   2.5000e+02   1.1040e-05   1.2774e-07
   2.5100e+02   1.1006e-05   1.2707e-07
   2.5200e+02   1.0971e-05   1.2641e-07
   2.5300e+02   1.0937e-05   1.2575e-07
   2.5400e+02   1.0903e-05   1.2510e-07
   2.5500e+02   1.0870e-05   1.2445e-07
   2.5600e+02   1.0836e-05   1.2380e-07
   2.5700e+02   1.0802e-05   1.2316e-07
   2.5800e+02   1.0769e-05   1.2252e-07
   2.5900e+02   1.0736e-05   1.2189e-07
   2.6000e+02   1.0703e-05   1.2126e-07
   2.6100e+02   1.0670e-05   1.2064e-07
   2.6200e+02   1.0638e-05   1.2002e-07
   2.6300e+02   1.0606e-05   1.1940e-07
   2.6400e+02   1.0574e-05   1.1879e-07
   2.6500e+02   1.0542e-05   1.1818e-07
   2.6600e+02   1.0510e-05   1.1758e-07
   2.6700e+02   1.0478e-05   1.1698e-07
   2.6800e+02   1.0447e-05   1.1638e-07
   2.6900e+02   1.0416e-05   1.1579e-07
   2.7000e+02   1.0385e-05   1.1521e-07
   2.7100e+02   1.0355e-05   1.1463e-07
   2.7200e+02   1.0324e-05   1.1405e-07
   2.7300e+02   1.0294e-05   1.1347e-07
   2.7400e+02   1.0264e-05   1.1290e-07
   2.7500e+02   1.0235e-05   1.1234e-07
   2.7600e+02   1.0205e-05   1.1178e-07
   2.7700e+02   1.0176e-05   1.1122e-07
   2.7800e+02   1.0147e-05   1.1067e-07
   2.7900e+02   1.0119e-05   1.1012e-07
   2.8000e+02   1.0091e-05   1.0958e-07
   2.8100e+02   1.0062e-05   1.0904e-07
   2.8200e+02   1.0035e-05   1.0851e-07
   2.8300e+02   1.0007e-05   1.0798e-07
   2.8400e+02   9.9797e-06   1.0746e-07
   2.8500e+02   9.9526e-06   1.0694e-07
   2.8600e+02   9.9259e-06   1.0643e-07
   2.8700e+02   9.8993e-06   1.0592e-07
   2.8800e+02   9.8731e-06   1.0541e-07
   2.8900e+02   9.8472e-06   1.0491e-07
   2.9000e+02   9.8215e-06   1.0442e-07
   2.9100e+02   9.7961e-06   1.0393e-07
   2.9200e+02   9.7710e-06   1.0344e-07
   2.9300e+02   9.7462e-06   1.0296e-07
